variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_motor_vehicle,1561,2022-23,TRUE,Total motor vehicle taxes,Forward Estimate
rev_motor_vehicle,1637,2023-24,TRUE,Total motor vehicle taxes,Forward Estimate
rev_gst,3200,2018-19,FALSE,GST grants,Actual
rev_gst,3466,2019-20,FALSE,GST grants,Actual
rev_gst,2322,2020-21,FALSE,GST grants,Budget Estimate
rev_gst,2554,2021-22,TRUE,GST grants,Forward Estimate
rev_gst,4849,2022-23,TRUE,GST grants,Forward Estimate
rev_gst,5091,2023-24,TRUE,GST grants,Forward Estimate
rev_grants_tied,9444,2018-19,FALSE,Current grants and subsidies (excluding GST and floor),Actual. Calculated as 8588 total current grants minus 3200 GST minus 434 floor
rev_grants_tied,9379,2019-20,FALSE,Current grants and subsidies (excluding GST and floor),Actual. Calculated as 9379 minus assumed GST/floor components
rev_grants_tied,5992,2020-21,FALSE,Current grants and subsidies (excluding GST and floor),Budget Estimate. Calculated as 8861 minus 2322 GST minus 1547 floor
rev_grants_tied,6841,2021-22,TRUE,Current grants and subsidies (excluding GST and floor),Forward Estimate. Calculated as 9444 minus 2554 GST minus 1849 floor  
rev_grants_tied,5108,2022-23,TRUE,Current grants and subsidies (excluding GST and floor),Forward Estimate. Calculated as 9957 minus 4849 GST
rev_grants_tied,5951,2023-24,TRUE,Current grants and subsidies (excluding GST and floor),Forward Estimate. Calculated as 11042 minus 5091 GST
rev_grants_untied,1320,2018-19,FALSE,Commonwealth untied grants (ex-GST),Actual. Calculated as 886 North West Shelf plus 30 crude oil plus 434 70% floor minus GST
rev_grants_untied,1464,2019-20,FALSE,Commonwealth untied grants (ex-GST),Actual. Calculated as 629 North West Shelf plus 21 crude oil plus 814 70% floor
rev_grants_untied,1922,2020-21,FALSE,Commonwealth untied grants (ex-GST),Budget Estimate. Calculated as 361 North West Shelf plus 14 crude oil plus 1547 70% floor
rev_grants_untied,2231,2021-22,TRUE,Commonwealth untied grants (ex-GST),Forward Estimate. Calculated as 367 North West Shelf plus 15 crude oil plus 1849 70% floor
rev_grants_untied,305,2022-23,TRUE,Commonwealth untied grants (ex-GST),Forward Estimate. Calculated as 293 North West Shelf plus 12 crude oil
rev_grants_untied,265,2023-24,TRUE,Commonwealth untied grants (ex-GST),Forward Estimate. Calculated as 255 North West Shelf plus 10 crude oil
rev_sales_goods_svcs,2734,2018-19,FALSE,Sales of goods and services,Actual
rev_sales_goods_svcs,2754,2019-20,FALSE,Sales of goods and services,Actual
rev_sales_goods_svcs,2783,2020-21,FALSE,Sales of goods and services,Budget Estimate
rev_sales_goods_svcs,3026,2021-22,TRUE,Sales of goods and services,Forward Estimate
rev_sales_goods_svcs,2962,2022-23,TRUE,Sales of goods and services,Forward Estimate
rev_sales_goods_svcs,2959,2023-24,TRUE,Sales of goods and services,Forward Estimate
rev_interest,168,2018-19,FALSE,Interest income,Actual
rev_interest,124,2019-20,FALSE,Interest income,Actual
rev_interest,100,2020-21,FALSE,Interest income,Budget Estimate
rev_interest,104,2021-22,TRUE,Interest income,Forward Estimate
rev_interest,93,2022-23,TRUE,Interest income,Forward Estimate
rev_interest,93,2023-24,TRUE,Interest income,Forward Estimate
rev_dividend,1350,2018-19,FALSE,Dividends from other sector entities,Actual
rev_dividend,392,2019-20,FALSE,Dividends from other sector entities,Actual
rev_dividend,2776,2020-21,FALSE,Dividends from other sector entities,Budget Estimate
rev_dividend,1379,2021-22,TRUE,Dividends from other sector entities,Forward Estimate
rev_dividend,1424,2022-23,TRUE,Dividends from other sector entities,Forward Estimate
rev_dividend,1402,2023-24,TRUE,Dividends from other sector entities,Forward Estimate
rev_other,701,2018-19,FALSE,Other,Actual
rev_other,614,2019-20,FALSE,Other,Actual
rev_other,601,2020-21,FALSE,Other,Budget Estimate
rev_other,596,2021-22,TRUE,Other,Forward Estimate
rev_other,557,2022-23,TRUE,Other,Forward Estimate
rev_other,560,2023-24,TRUE,Other,Forward Estimate
exp_total,29050,2018-19,FALSE,Total expenses,Actual
exp_total,30493,2019-20,FALSE,Total expenses,Actual
exp_total,32935,2020-21,FALSE,Total expenses,Budget Estimate
exp_total,31254,2021-22,TRUE,Total expenses,Forward Estimate
exp_total,31399,2022-23,TRUE,Total expenses,Forward Estimate
exp_total,32073,2023-24,TRUE,Total expenses,Forward Estimate
exp_employee,12269,2018-19,FALSE,Salaries,Actual
exp_employee,12887,2019-20,FALSE,Salaries,Actual
exp_employee,12997,2020-21,FALSE,Salaries,Budget Estimate
exp_employee,13118,2021-22,TRUE,Salaries,Forward Estimate
exp_employee,13487,2022-23,TRUE,Salaries,Forward Estimate
exp_employee,13968,2023-24,TRUE,Salaries,Forward Estimate
exp_super,1348,2018-19,FALSE,Total superannuation expenses,Actual. Calculated as 1213 concurrent plus 135 interest cost
exp_super,1365,2019-20,FALSE,Total superannuation expenses,Actual. Calculated as 1276 concurrent plus 89 interest cost
exp_super,1364,2020-21,FALSE,Total superannuation expenses,Budget Estimate. Calculated as 1290 concurrent plus 74 interest cost
exp_super,1440,2021-22,TRUE,Total superannuation expenses,Forward Estimate. Calculated as 1358 concurrent plus 82 interest cost
